
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  TCP    10.33.56.86:65368      10.33.56.122:49669     ESTABLISHED     3204
  TCP    127.0.0.1:16106        0.0.0.0:0              LISTENING       13756
  TCP    127.0.0.1:16107        0.0.0.0:0              LISTENING       4912
  TCP    127.0.0.1:19875        0.0.0.0:0              LISTENING       21228
  TCP    127.0.0.1:19876        0.0.0.0:0              LISTENING       21228
  TCP    127.0.0.1:19877        0.0.0.0:0              LISTENING       21228
  TCP    127.0.0.1:20250        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:38950        0.0.0.0:0              LISTENING       11416
  TCP    127.0.0.1:49528        127.0.0.1:56029        ESTABLISHED     25428
  TCP    127.0.0.1:53212        127.0.0.1:56354        ESTABLISHED     17952
  TCP    127.0.0.1:53213        127.0.0.1:56029        ESTABLISHED     25428
  TCP    127.0.0.1:53214        127.0.0.1:56029        ESTABLISHED     25428
  TCP    127.0.0.1:56029        0.0.0.0:0              LISTENING       18724
  TCP    127.0.0.1:56029        127.0.0.1:49523        TIME_WAIT       0
  TCP    127.0.0.1:56029        127.0.0.1:49528        ESTABLISHED     18724
  TCP    127.0.0.1:56029        127.0.0.1:53213        ESTABLISHED     18724
  TCP    127.0.0.1:56029        127.0.0.1:53214        ESTABLISHED     18724
  TCP    127.0.0.1:56029        127.0.0.1:55537        TIME_WAIT       0
  TCP    127.0.0.1:56029        127.0.0.1:56364        ESTABLISHED     18724
  TCP    127.0.0.1:56029        127.0.0.1:56365        ESTABLISHED     18724
  TCP    127.0.0.1:56029        127.0.0.1:56666        ESTABLISHED     18724
  TCP    127.0.0.1:56029        127.0.0.1:62243        ESTABLISHED     18724
  TCP    127.0.0.1:56029        127.0.0.1:65294        TIME_WAIT       0
  TCP    127.0.0.1:56029        127.0.0.1:65309        TIME_WAIT       0
  TCP    127.0.0.1:56354        0.0.0.0:0              LISTENING       25428
  TCP    127.0.0.1:56354        127.0.0.1:53212        ESTABLISHED     25428
  TCP    127.0.0.1:56354        127.0.0.1:56657        ESTABLISHED     25428
  TCP    127.0.0.1:56355        0.0.0.0:0              LISTENING       25428
  TCP    127.0.0.1:56355        127.0.0.1:49524        TIME_WAIT       0
  TCP    127.0.0.1:56355        127.0.0.1:49525        TIME_WAIT       0
  TCP    127.0.0.1:56355        127.0.0.1:55533        TIME_WAIT       0
  TCP    127.0.0.1:56355        127.0.0.1:55534        TIME_WAIT       0
  TCP    127.0.0.1:56360        0.0.0.0:0              LISTENING       18724
  TCP    127.0.0.1:56360        127.0.0.1:56668        ESTABLISHED     18724
  TCP    127.0.0.1:56363        0.0.0.0:0              LISTENING       25428
  TCP    127.0.0.1:56363        127.0.0.1:62339        ESTABLISHED     25428
  TCP    127.0.0.1:56364        127.0.0.1:56029        ESTABLISHED     25428
  TCP    127.0.0.1:56365        127.0.0.1:56029        ESTABLISHED     25428
  TCP    127.0.0.1:56657        127.0.0.1:56354        ESTABLISHED     18724
  TCP    127.0.0.1:56666        127.0.0.1:56029        ESTABLISHED     25428
  TCP    127.0.0.1:56668        127.0.0.1:56360        ESTABLISHED     25428
  TCP    127.0.0.1:62243        127.0.0.1:56029        ESTABLISHED     25428
  TCP    127.0.0.1:62339        127.0.0.1:56363        ESTABLISHED     18724
  TCP    [::]:135               [::]:0                 LISTENING       1544
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3000              [::]:0                 LISTENING       14920
  TCP    [::]:3389              [::]:0                 LISTENING       1896
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       19396
  TCP    [::]:20300             [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       1232
  TCP    [::]:49665             [::]:0                 LISTENING       1032
  TCP    [::]:49666             [::]:0                 LISTENING       1404
  TCP    [::]:49667             [::]:0                 LISTENING       2552
  TCP    [::]:49668             [::]:0                 LISTENING       3208
  TCP    [::]:49669             [::]:0                 LISTENING       3204
  TCP    [::]:49670             [::]:0                 LISTENING       1232
  TCP    [::]:49698             [::]:0                 LISTENING       1164
  TCP    [::]:63252             [::]:0                 LISTENING       21972
  TCP    [::1]:42050            [::]:0                 LISTENING       15400
  TCP    [::1]:49671            [::]:0                 LISTENING       4772
  UDP    0.0.0.0:123            *:*                                    1912
  UDP    0.0.0.0:500            *:*                                    4636
